name,slug,threadcount,palette,colors_hex,symmetric,thread_total,verification,confirmed_by
"Maine, Original State of",maine-original-state-of,A/4 R4 HG66 B4 A4 B12 A4 B4 A46 B4 HG/4,A#5C8CA8 B#2C2C80 R#C80000 HG#285800,#5C8CA8|#C80000|#285800|#2C2C80,yes,304,B_one_independent_archive,tartans-authority
Mair (Personal),mair-personal,R/46 B4 R4 G6 W2 R4 B36 R4 G6 Y2 G6 R/46,R#C80000 Y#D8B000 W#FCFCFC G#008000 B#0000CD,#C80000|#0000CD|#008000|#FCFCFC|#D8B000,yes,240,A_two_plus_independent_archives,weddslist; tartans-authority
Malay 98 / Commonwealth Games,malay-98-commonwealth-games,AGG20 RO4 AGG4 LC8 AGG32 BP32 LC4 AZ36 Y4 AZ16 LC6,AZ#788CB4 AGG#003014 LC#C82800 Y#C88C00 BP#780078 RO#B42864,#003014|#B42864|#C82800|#780078|#788CB4|#C88C00,no,166,C_dual_register_scrape,
Malcolm,malcolm,FSB4 K4 G24 K24 B24 R4 B4 R4 B24 K24 G24 K4 Y4 K4,K#101010 FSB#2474E8 G#006818 Y#E8C000 B#2C2C80 R#C80000,#2474E8|#101010|#006818|#2C2C80|#C80000|#E8C000,no,176,A_two_plus_independent_archives,weddslist; house-of-tartan; tartans-authority
Malcolm #2,malcolm-2,A4 K4 G24 K24 B24 R4 B4 R4 B24 K24 G24 K4 Y4 K4,A#3C82AF K#101010 G#005020 B#2C4084 R#DC0000 Y#E8C000,#3C82AF|#101010|#005020|#2C4084|#DC0000|#E8C000,no,176,C_dual_register_scrape,
Malcolm (1840),malcolm-1840,B21 R4 B6 LR4 B4 B21 K21 HG21 K6 Y4 K6 LSB4 K6 HG21 K21,LSB#98C8E8 Y#E8C000 HG#285800 K#101010 LR#E08070 R#C80000 B#2C2C80,#2C2C80|#C80000|#E08070|#101010|#285800|#E8C000|#98C8E8,no,170,B_one_independent_archive,tartans-authority
Malcolm (symmetrical),malcolm-symmetrical,B/8 G4 B24 K24 G24 K4 Y4 K4 A4 K4 G24 K24 B24 R4 B/8,B#2C4084 G#005020 K#101010 Y#E8C000 A#3C82AF R#DC0000,#2C4084|#005020|#101010|#E8C000|#3C82AF|#DC0000,yes,360,B_one_independent_archive,weddslist
Malcolm Dress,malcolm-dress,K28 G36 K8 YT8 K8 AA8 K8 G36 K28 RB28 R8 RB12 R8 RB28 K28 CW8 K8 CW44 K8 CW12 K8 CW44 K8 CW8,AA#789484 K#101010 CW#FCFCFC G#006818 R#C80000 RB#1C0070 YT#D8B000,#101010|#006818|#D8B000|#789484|#1C0070|#C80000|#FCFCFC,no,428,B_one_independent_archive,tartans-authority
Malcolm Dress (Lochcarron 2005),malcolm-dress-lochcarron-2005,K28 G36 K8 YT8 K8 RB8 K8 G36 K28 RB28 R8 RB12 R8 RB28 K28 CW8 RB8 CW44 RB8 CW12 RB8 CW44 RB8 CW8 K28 CW8 RB8 CW44 RB8 CW12 RB8 CW44 RB8 CW8 K28,K#101010 CW#FCFCFC G#006818 R#C80000 RB#1C0070 YT#D8B000,#101010|#006818|#D8B000|#1C0070|#C80000|#FCFCFC,no,632,C_dual_register_scrape,
Malmo Skyblue,malmo-skyblue,NB/28 WW36 LSB28 WW36 LSB85 R3 LSB3 R/3,NB#003C64 B#2C2C80 R#C80000 LSB#D8E8E8 WW#FCFCFC,#003C64|#FCFCFC|#D8E8E8|#C80000|#2C2C80,yes,413,B_one_independent_archive,tartans-authority
Malone (2016),malone-2016,K/16 G2 K40 G2 K8 G2 K6 G8 W4 G48 DY/6,DY#BC8C00 G#005020 W#FCFCFC K#000000,#000000|#005020|#FCFCFC|#BC8C00,yes,262,C_dual_register_scrape,
"Man, Isle of",man-isle-of,DRZ/4 BB44 ET8 SW6 DG14 BDY4 DG8 SW4 DG18 XM12 BDY4 XM8 SW/4,DRZ#880000 BB#00008C ET#64340C SW#B0B0B0 DG#004C00 BDY#C89800 XM#640064,#880000|#00008C|#64340C|#B0B0B0|#004C00|#C89800|#640064,yes,268,B_one_independent_archive,tartans-authority
Mandela Commemorative,mandela-commemorative,LG/16 DY4 K12 LG22 R4 NB24 K24 R4 K12 DY4 K8 R/6,K#101010 DY#E8C000 LG#289C18 NB#003C64 R#C80000,#289C18|#E8C000|#101010|#C80000|#003C64,yes,258,C_dual_register_scrape,
Manderson #2,manderson-2,K4 N20 K10 HG16 K24 R40 LB32 R8 LB10 W4,K#101010 N#888888 HG#285800 LB#2888C4 R#C80000 W#E0E0E0,#101010|#888888|#285800|#C80000|#2888C4|#E0E0E0,no,168,B_one_independent_archive,tartans-authority
Manhattan Ethnic,manhattan-ethnic,CLR32 DT8 GO10 CLR62 LT18 DT30 LT72,CLR#E87878 DT#441800 GO#BC8C00 LT#A08858,#E87878|#441800|#BC8C00|#A08858,no,232,B_one_independent_archive,tartans-authority
Manhattan Financial,manhattan-financial,B4 W24 K14 CW8 K20 N4 CW6 N6 G2 CW6 N8 W20 N18 CW6 R2 W48,K#101010 B#2C2C80 CW#FCFCFC G#006818 N#888888 R#C80000 W#E0E0E0,#2C2C80|#E0E0E0|#101010|#FCFCFC|#888888|#006818|#C80000,no,196,B_one_independent_archive,tartans-authority
Manitoba,manitoba,A/6 LG2 A2 LG41 DG6 LG2 R21 Y/6,A#3C82AF LG#289C18 DG#002814 R#DC0000 Y#E8C000,#3C82AF|#289C18|#002814|#DC0000|#E8C000,yes,160,B_one_independent_archive,weddslist
